id,generico_non_terrestre,generico_terrestre,inventato,no_ambientazione,nominato_non_terrestre,nominato_terrestre,pct_nebbia_normalizzata,pct_cancellazione_normalizzata,pct_nebbia,pct_cancellazione,norma_pct_caratteri_nebbia_cancellazione,nebbia_words_ratio,cancellazione_words_ratio,dubitative_ratio,n_lists_f,n_lists_m,n_lists_p,n_lists_s,text_length
S135,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,170,0,58,192,26513
S136,0.00,0.25,0.00,0.00,0.08,0.67,0.09,0,100,0,0.07,0.06,0,0.02,135,60,27,102,15771
S137,0.00,0.75,0.00,0.00,0.25,0.00,0.05,0.14,33.33,66.67,0.18,0.06,0.06,0.07,528,0,148,380,21376
S138,0.00,1.00,0.00,0.00,0.00,0.00,0,0.34,0,100,0.34,0,0,0.07,85,0,66,0,13732
S139,0.00,0.86,0.00,0.00,0.00,0.14,0,0,0,0,0,0,0,0,181,0,111,152,21043
S140,0.00,0.60,0.40,0.00,0.00,0.00,0,0,0,0,0,0,0,0,907,0,0,493,14578
S141,0.00,0.50,0.10,0.00,0.10,0.30,0,0.09,0,100,0.09,0,0.03,0.02,0,57,453,508,16603
S142,0.00,0.83,0.00,0.00,0.17,0.00,0,0.09,0,100,0.09,0,0.03,0.02,1492,112,0,768,18954
S143,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,752,87,112,0,9299
S144,0.00,0.50,0.00,0.00,0.00,0.50,0,0,0,0,0,0,0,0,2043,110,109,124,22375
S145,0.00,0.40,0.00,0.00,0.07,0.53,0,0.07,0,100,0.07,0,0.03,0.02,475,0,32,193,23452
S146,0.29,0.29,0.00,0.00,0.14,0.29,0,0,0,0,0,0,0,0,256,0,0,504,13895
S147,0.00,0.40,0.20,0.00,0.20,0.20,0,0,0,0,0,0,0,0,785,94,0,583,18603
S148,0.00,0.00,0.00,0.00,1.00,0.00,0,0,0,0,0,0,0,0,128,114,69,837,7831
S149,0.00,0.83,0.00,0.00,0.00,0.17,0,0,0,0,0,0,0,0,239,0,37,297,25519
S150,0.00,1.00,0.00,0.00,0.00,0.00,0.16,0.08,75,25,0.21,0.18,0.03,0.09,1078,100,137,909,22085
S151,0.00,0.67,0.00,0.00,0.00,0.33,0.25,0.06,83.33,16.67,0.27,0.29,0.03,0.14,2681,78,474,315,25010
S152,0.00,1.00,0.00,0.00,0.00,0.00,0,0.04,0,100,0.04,0,0.06,0.05,6399,973,806,2156,98779
S153,1.00,0.00,0.00,0.00,0.00,0.00,0,0.2,0,100,0.2,0,0.06,0.05,328,136,0,279,15654
S154,0.00,0.40,0.00,0.00,0.00,0.60,,,,,,0,0,0,573,123,172,806,44046
S155,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,1025,0,58,0,12331
S156,0.00,0.75,0.00,0.00,0.00,0.25,0,0,0,0,0,0,0,0,1126,0,0,0,6231
S157,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,0,0,2923,118,0,0,15168
S158,0.00,0.50,0.00,0.00,0.00,0.50,0,0,0,0,0,0,0,0,586,0,107,0,20699
S159,0.00,0.50,0.00,0.00,0.00,0.50,0,0.19,0,100,0.19,0,0.06,0.05,0,66,121,232,16064
S160,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,0,0,194,0,0,0,2780
S161,0.00,0.00,0.00,1.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
S162,0.00,1.00,0.00,0.00,0.00,0.00,0.1,0,100,0,0.08,0.06,0,0.02,0,0,0,237,9784
S163,0.00,0.00,0.00,1.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,99,0,3072
S164,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,325,0,33,0,8420
S165,0.00,0.67,0.00,0.00,0.00,0.33,0,0.53,0,100,0.53,0,0.03,0.02,0,0,0,0,0
S166,0.00,0.67,0.00,0.00,0.00,0.33,0.23,0,100,0,0.19,0.06,0,0.02,0,71,0,259,4952
S167,0.00,1.00,0.00,0.00,0.00,0.00,0.2,0.19,50,50,0.35,0.06,0.03,0.05,0,0,145,0,6749
S168,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,0,0,110,0,127,0,5772
S169,0.00,1.00,0.00,0.00,0.00,0.00,0.18,0,100,0,0.14,0.06,0,0.02,434,0,45,556,8736
S170,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,0,0,694,0,0,0,5037
S171,0.00,0.67,0.00,0.00,0.00,0.33,0.07,0.05,66.67,33.33,0.1,0.12,0.03,0.07,506,1491,403,127,41079
S172,0.00,1.00,0.00,0.00,0.00,0.00,0.26,0,100,0,0.21,0.06,0,0.02,386,0,0,421,5137
S173,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,,0,0,0,0,0,0,0,0
S174,0.00,0.00,0.00,1.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,32,0,3825
S175,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,211,358,198,367,12906
S176,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,59,0,7552
S177,0.00,0.00,0.00,1.00,0.00,0.00,0,0.57,0,100,0.57,0,0.09,0.07,608,0,0,109,7490
S178,0.00,0.50,0.00,0.00,0.00,0.50,0,0,0,0,0,0,0,0,0,0,0,82,4684
S179,0.00,0.40,0.20,0.00,0.20,0.20,0,0,0,0,0,0,0,0,572,0,0,643,16915
S180,0.00,0.00,0.00,1.00,0.00,0.00,0,0,0,0,0,0,0,0,0,97,158,578,4167
S181,0.00,0.75,0.00,0.00,0.00,0.25,0,0.16,0,100,0.16,0,0.06,0.05,697,138,207,0,18849
S182,0.00,0.50,0.00,0.00,0.00,0.50,0,0,0,0,0,0,0,0,0,177,56,0,9054
S183,0.00,1.00,0.00,0.00,0.00,0.00,0,0.17,0,100,0.17,0,0.03,0.02,376,651,258,69,12343
S184,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,1150,0,29,0,8184
S185,0.00,0.43,0.00,0.00,0.00,0.57,0.04,0.04,50,50,0.07,0.06,0.03,0.05,602,353,389,731,41220
S186,0.00,0.00,0.00,1.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,66,0,3938
S187,0.00,0.67,0.33,0.00,0.00,0.00,0,0,0,0,0,0,0,0,292,0,76,0,6400
S188,0.00,0.00,0.00,1.00,0.00,0.00,0.08,0,100,0,0.06,0.06,0,0.02,0,0,222,94,14889
S189,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,417,60,120,114,17663
S190,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,130,170,124,9267
S191,0.00,1.00,0.00,0.00,0.00,0.00,0,0.55,0,100,0.55,0,0.09,0.07,684,95,0,0,8612
S192,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
S193,0.00,1.00,0.00,0.00,0.00,0.00,0,0.23,0,100,0.23,0,0.03,0.02,60,0,0,170,6978
S194,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,174,0,0,111,4615
S195,0.00,0.50,0.00,0.00,0.00,0.50,0,0,0,0,0,0,0,0,324,543,0,1116,7605
S196,0.00,0.50,0.00,0.00,0.00,0.50,0,0,0,0,0,0,0,0,0,65,125,129,6229
S197,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,820,4138
S198,0.00,0.33,0.00,0.00,0.00,0.67,0,0,0,0,0,0,0,0,1109,73,0,527,6634
S199,0.00,0.00,0.00,1.00,0.00,0.00,0,0.23,0,100,0.23,0,0.03,0.02,0,0,0,229,6836
S200,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,1474,0,201,181,7002
S201,0.00,1.00,0.00,0.00,0.00,0.00,0,0.14,0,100,0.14,0,0.03,0.02,0,0,0,0,0
S202,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,129,1044,12804
S203,0.29,0.71,0.00,0.00,0.00,0.00,0.12,0,100,0,0.1,0.06,0,0.02,177,0,0,587,11582
S204,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,1114,328,269,1323,46528
S205,1.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,922,92,331,0,15867
S206,1.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,565,0,109,327,9364
V001,0.00,0.96,0.00,0.00,0.00,0.04,0.08,0.03,76.19,23.81,0.09,0.94,0.16,0.48,2752,2790,638,1546,249888
V003,0.00,0.75,0.21,0.00,0.00,0.04,0,0,0,0,0,0,0,0,3528,705,405,710,138103
V005,0.00,0.89,0.06,0.00,0.00,0.06,0,0.01,0,100,0.01,0,0.09,0.07,10513,7522,2215,5611,416814
V008,0.00,0.83,0.03,0.00,0.00,0.14,0,0.01,0,100,0.01,0,0.03,0.02,9495,2967,1665,3889,197268
V009,0.00,0.80,0.00,0.00,0.00,0.20,0.02,0.03,50,50,0.04,0.12,0.06,0.09,5820,662,789,2803,121328
V010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V016,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,809,847,539,884,62895
V018,0.00,0.02,0.02,0.00,0.00,0.97,0.06,0.08,42.86,57.14,0.13,0.35,0.28,0.34,6074,3328,2138,6345,146738
V020,0.00,0.50,0.00,0.00,0.00,0.50,0,0,0,0,0,0,0,0,0,0,0,0,0
V021,0.00,0.77,0.19,0.00,0.00,0.04,0.03,0.11,27.27,72.73,0.14,0.71,1,1,22454,1329,3603,10003,458335
