id,generico_non_terrestre,generico_terrestre,inventato,no_ambientazione,nominato_non_terrestre,nominato_terrestre,pct_nebbia_normalizzata,pct_cancellazione_normalizzata,pct_nebbia,pct_cancellazione,norma_pct_caratteri_nebbia_cancellazione
S128,1.00,0.00,0.00,0.00,0.00,0.00,0,0.1199393975,0,100,0.119939397466166
S129,1.00,0.00,0.00,0.00,0.00,0.00,0.1016719033,0,100,0,0.083664836152557
S130,0.00,0.93,0.00,0.00,0.07,0.00,0,0.09692072522,0,100,0.096920725225184
S131,1.00,0.00,0.00,0.00,0.00,0.00,0,0.1833492184,0,100,0.183349218452154
S132,0.00,1.00,0.00,0.00,0.00,0.00,0.04832727542,0,100,0,0.03976805242594
S133,0.00,1.00,0.00,0.00,0.00,0.00,0,0.05686887433,0,100,0.056868874335071
S134,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S135,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S136,0.00,0.27,0.00,0.00,0.00,0.73,0.08504999869,0,100,0,0.069986829946228
S137,0.00,0.75,0.17,0.00,0.08,0.00,0.05378489345,0.1401537345,33.33333333,66.66666667,0.184412808604103
S138,0.00,1.00,0.00,0.00,0.00,0.00,0,0.3444807629,0,100,0.344480762894376
S139,0.00,0.86,0.00,0.00,0.00,0.14,0,0,0,0,0
S140,0.00,0.67,0.33,0.00,0.00,0.00,0,0,0,0,0
S141,0.00,0.55,0.09,0.00,0.09,0.27,0,0.09497098588,0,100,0.094970985887401
S142,0.00,0.83,0.00,0.00,0.17,0.00,0,0.09151016179,0,100,0.091510161789458
S143,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S144,0.00,0.50,0.00,0.00,0.00,0.50,0,0,0,0,0
S145,0.00,0.40,0.00,0.00,0.07,0.53,0,0.06723534362,0,100,0.067235343624788
S146,0.29,0.29,0.00,0.00,0.14,0.29,0,0,0,0,0
S147,0.00,0.40,0.20,0.00,0.20,0.20,0,0,0,0,0
S148,0.00,0.00,0.00,0.00,1.00,0.00,0,0,0,0,0
